Source,NSSmodel,RA_ICRS,DE_ICRS,Per,Tperi,Vcm,K1,K2,Flags,_RA.icrs,_DE.icrs
126943805747699456,SB2C,41.55864325820,27.87742855525,8.80237545421716128,2.0365553811107695026,21.21447495207797829,72.749394344376412,73.205082481267695,12615680,41.55864325820,27.87742855525
1272930282497618048,SB2C,234.51268009459,29.48720874541,5.11708160803321643,-0.4282862912252756726,-4.97253506426798619,86.097619589373195,88.398579044812962,12615680,234.51268009459,29.48720874541
1352541968094852480,SB2C,251.16702372486,38.62335059292,3.40990606437525745,0.4931423121831629564,-30.91694811887751371,86.746830314091710,102.427927535450848,12615680,251.16702372486,38.62335059292
1387290280744129152,SB2C,231.58128859054,36.98153355310,0.84700670907127817,-0.2309275238272283648,-3.34513756584382094,155.805352821978232,138.302948842907114,12615680,231.58128859054,36.98153355310
1454617122923582976,SB2C,210.44424261994,32.14674892124,0.36697791076636732,-0.0067469652923278917,-28.12866521843561074,97.287998493358643,226.188435745069910,12615680,210.44424261994,32.14674892124
1612798225814971776,SB2C,224.66692257680,56.75196094724,3.82839222982472016,-1.5607100443041888038,-16.59598956505742606,89.361593612241236,107.766889956865597,12615680,224.66692257680,56.75196094724
17170287112790656,SB2C,48.50340432081,11.45026871689,0.57863320250161598,0.0192573259993245108,11.42572469270114865,192.699189536170508,103.037341450273516,12615680,48.50340432081,11.45026871689
189291376380052992,SB2C,84.38523294464,37.08689228596,3.08176431812507801,-0.0147034580330020880,10.20731948967913816,100.597200950311574,88.492577122259448,12615680,84.38523294464,37.08689228596
1928855351478724736,SB2C,343.06179928282,38.74572122017,2.44342789309156849,0.2016972406522816452,-8.28679392202721310,82.046911681973000,83.480965509396711,12615680,343.06179928282,38.74572122017
1961293246608252672,SB2C,330.01864980599,44.55216273804,1.60469851537864217,0.0817972053074846606,-15.37290977803083791,151.670039899227930,123.187962351040824,12615680,330.01864980599,44.55216273804
1962909425622345728,SB2C,332.16974273562,45.74246076572,1.98318340474140720,0.2919393607388801604,-37.08209709723990954,118.044490221996710,107.643869360803976,12615680,332.16974273562,45.74246076572
1988664351633304320,SB2C,341.23802467853,49.65757672645,10.36975301734179666,5.1683465221376678755,-49.82056193446820203,57.645665611842446,60.417099632565261,12615680,341.23802467853,49.65757672645
2058022369743648768,SB2C,306.37766139122,37.42997750405,0.77259888411049038,-0.1212513816322071947,-19.79584227081233649,160.825165236715918,145.071659839542235,12615680,306.37766139122,37.42997750405
2064107926079227648,SB2C,307.77174194781,38.78302100238,0.29063366618406622,0.0569279410748623343,-10.88549430557317699,145.516720054481539,223.356941332874840,12615680,307.77174194781,38.78302100238
2153474650639369600,SB2C,285.91479366027,57.45720609421,1.81747032375636230,0.3758337085153595214,-11.60603099601208754,157.732676631624258,112.942513277523460,12615680,285.91479366027,57.45720609421
2154313612370380288,SB2C,280.31986478724,58.06378206666,8.40966101255474463,1.4400391646369163912,-7.56329356444736334,71.197581791735246,78.519736749134950,12615680,280.31986478724,58.06378206666
2205311401215067904,SB2C,337.81583184935,63.52265635965,3.37845648039277879,-1.5945796871332307276,-8.67997932928219385,116.465463791446183,123.444475746935183,12615680,337.81583184935,63.52265635965
2252018174119645696,SB2C,287.34970739911,61.83789014218,2.50667619889158377,0.7711349910626111859,-16.34738922569567876,102.234686251683925,95.893910010801491,12615680,287.34970739911,61.83789014218
2283626831313777536,SB2C,322.11744286928,76.40343687966,8.43978439809576564,-3.9446757270889514224,-0.82728898103130910,80.903303771092382,77.998027733369099,12615680,322.11744286928,76.40343687966
