TIC ID|TOI|Separation (arcsec)|Separation (arcsec) Error|Pos Angle E of N (deg)|Pos Angle E of N (deg) Error|Filter|Delta Mag|Delta Mag Error|Observation Date (UT)|Date|User|Group|Tag|Notes
4746245||0.093||41.3||562: 562 (54) nm|0.72||2019-10-15|2021-10-29 16:06:32|furlan|tfopwg|17249|
4746245||0.093||41||832: 832 (40) nm|0.71||2019-10-14|2021-10-29 16:06:32|furlan|tfopwg|17208|
4999813|TOI 2878|1.6624||152||I: 879 (289) nm|5.6||2021-11-20|2021-11-29 06:42:04|ziegler|tfopwg|102511|
5592720|TOI 4986|0.3365||28.6||I: 879 (289) nm|3.5||2022-04-16|2022-04-19 10:36:50|ziegler|tfopwg|414852|
5772442|TOI 979|0.084||241.02||562: 562 (44) nm|0.57||2019-11-18|2022-07-19 12:59:13|everett||417525|NESSI@WIYN; 180 degree ambiguity in PA
5772442|TOI 979|0.084||239.969||832: 832 (40) nm|0.55||2019-11-18|2022-07-19 12:59:13|everett||417525|NESSI@WIYN; 180 degree ambiguity in PA
5772442|TOI 979|0.0849||237.6||I: 879 (289) nm|0.5||2020-11-01|2020-12-09 07:03:03|ziegler|tfopwg|60990|
5772442|TOI 979|0.0864||238.5||I: 879 (289) nm|0.5||2020-02-10|2020-02-14 06:07:35|ziegler|tfopwg|16695|
5772442|TOI 979|0.0834||238.4||I: 879 (289) nm|0.5||2019-12-12|2020-01-24 12:19:58|ziegler|tfopwg|16170|
5868998|TOI 749|1.322|0.00141|70||H|1.9345|0.00532|2019-06-25|2020-01-24 10:03:36|ciardi||4304|
5868998|TOI 749|1.321|0.00141|70||J|1.9364|0.00608|2019-06-25|2020-01-24 10:03:36|ciardi||4304|
5868998|TOI 749|1.324|0.00141|70||Kp|1.9281|0.0064|2019-06-25|2020-01-24 10:03:36|ciardi||4304|
6552512||0.115||346.5||832: 832 (40) nm|0.69||2021-02-07|2022-09-15 17:21:01|furlan|tfopwg|94650|180 degree ambiguity in PA
6853696|TOI 5437|2.022|0.015|205.45|0.3|I|2.4|0.1|2023-01-25|2023-04-05 07:47:12|safonov|tfopwg|427621|
8259901||0.091||288.2||832: 832 (40) nm|0.61||2019-06-08|2021-10-29 14:18:10|furlan|tfopwg|17069|180 degree ambiguity in PA
8259901||0.091||273.9||716: 716 (52) nm|0.61||2019-06-08|2021-10-29 14:18:10|furlan|tfopwg|17069|180 degree ambiguity in PA, uncertain fit
8516795|TOI 2169|6.421|0.045|234.65|0.03|Hcont|2.45|0.012|2023-06-29|2023-11-09 11:54:55|ciardi|tfopwg|429762|Palomar AO (PI: Ciardi with Clark, Lund, Catson, Harris):
8516795|TOI 2169|6.415|0.045|234.61|0.03|Brgamma|2.18|0.007|2023-06-29|2023-11-09 11:54:55|ciardi|tfopwg|429762|Palomar AO (PI: Ciardi with Clark, Lund, Catson, Harris):
8853478|TOI 5390|2.466||339.953||832: 832 (40) nm|4.21||2022-04-18|2022-07-18 14:50:29|everett||417119|NESSI@WIYN
9102327|TOI 313|4.43|0.00354|28||Hcont|3.892|0.01314|2019-07-14|2020-01-24 10:03:36|ciardi||5026|
9102327|TOI 313|4.43|0.00354|28||Brgamma|3.666|0.01593|2019-07-14|2020-01-24 10:03:36|ciardi||5026|
9264836||0.171||182.288||562: 562 (44) nm|0.72||2019-10-14|2022-07-19 12:59:13|everett||417541|NESSI@WIYN; 180 degree ambiguity in PA
9264836||0.173||181.347||832: 832 (40) nm|0.64||2019-10-14|2022-07-19 12:59:13|everett||417541|NESSI@WIYN; 180 degree ambiguity in PA
9264836||0.169||182.014||r: 620 (143) nm|1.84||2019-10-14|2022-07-19 12:59:13|everett||417541|NESSI@WIYN; 180 degree ambiguity in PA
9264836||0.165||181.977||z: 943 (243) nm|1.8||2019-10-14|2022-07-19 12:59:13|everett||417541|NESSI@WIYN; 180 degree ambiguity in PA
9727392|TOI 236|5.22|0.00354|47||Hcont|7.2488|0.06559|2018-12-23|2020-01-24 10:03:36|ciardi||1521|
9727392|TOI 236|5.2|0.00354|47||Brgamma|6.9291|0.08429|2018-12-23|2020-01-24 10:03:36|ciardi||1521|
9830791|TOI 3766|2.471|0.004|149.4|1|Hcont|2.808|0.032|2021-09-20|2021-09-20 16:33:18|ciardi|tfopwg|100041|Palomar AO (PI: ciardi)
9830791|TOI 3766|2.466|0.004|149.6|1|Brgamma|2.772|0.025|2021-09-20|2021-09-20 16:33:18|ciardi|tfopwg|100041|Palomar AO (PI: ciardi)
9858404|TOI 394|3.2284||220.2||I: 879 (289) nm|3.8||2019-02-19|2020-01-24 12:19:58|ziegler|tfopwg|15992|Ziegler et al. (2020)
10176636||0.024||297.2||832: 832 (40) nm|1.38||2021-02-25|2022-09-16 17:53:42|furlan|tfopwg|95145|180 degree ambiguity in PA, uncertain fit
10176636||0.033||312.6||562: 562 (54) nm|0.81||2021-02-25|2022-09-16 17:53:42|furlan|tfopwg|95145|180 degree ambiguity in PA, uncertain fit
10839729||0.066||344.1||832: 832 (40) nm|0.98||2020-11-28|2022-02-04 13:23:29|furlan|tfopwg|93361|
10839729||0.066||342.2||562: 562 (54) nm|1.04||2020-11-28|2022-02-04 13:23:29|furlan|tfopwg|93361|
11286229||10.755|0.076|117.96|0.02|Brgamma|7.355|0.076|2022-02-13|2022-02-17 11:24:17|ciardi|tfopwg|108181|Palomar AO (PI: ciardi): TIC11286225 (likely unbound)
11286229||8.707|0.062|357.63|0.02|Brgamma|7.521|0.085|2022-02-13|2022-02-17 11:24:17|ciardi|tfopwg|108181|Palomar AO (PI: ciardi): TIC11286231 (likely unbound)
11559798||0.495||337.7||466: 466 (44) nm|4.53||2021-01-13|2022-09-16 17:29:53|furlan|tfopwg|94330|
11559798||0.499||339.7||716: 716 (52) nm|4.28||2021-01-13|2022-09-16 17:29:53|furlan|tfopwg|94330|
12672792||0.026||144.5||466: 466 (44) nm|2||2020-06-12|2021-11-01 16:02:46|furlan|tfopwg|101316|180 degree ambiguity in PA, uncertain fit
13141508||0.032||335.7||832: 832 (40) nm|1.77||2021-07-21|2022-09-16 19:56:00|furlan|tfopwg|99382|180 degree ambiguity in PA, uncertain fit
13419950|TOI 1162|1.468||132.328||562: 562 (44) nm|2.06||2019-10-15|2022-07-19 12:59:13|everett||417407|NESSI@WIYN
13419950|TOI 1162|1.463||132.113||832: 832 (40) nm|1.37||2019-10-15|2022-07-19 12:59:13|everett||417407|NESSI@WIYN
13419950|TOI 1162|1.477||131.8||832: 832 (40) nm|1.33||2019-10-13|2021-10-29 16:06:32|furlan|tfopwg|17170|
13419950|TOI 1162|1.479||131.2||562: 562 (54) nm|1.79||2019-10-13|2021-10-29 16:06:32|furlan|tfopwg|17170|
13499636|TOI 1275|5.71|0.01|263|0.1|Brgamma|6.846|0.1227|2021-08-23|2021-09-13 14:27:35|ciardi|tfopwg|99539|Assuming companion is bound and based on delta magnitude, star has estimated spectral type M8V
13499636|TOI 1275|5.72|0.01|263.1|0.1|Hcont|7.037|0.1024|2021-08-23|2021-09-13 14:27:35|ciardi|tfopwg|99539|Assuming companion is bound and based on delta magnitude, star has estimated spectral type M7V
14098597||0.441|0.004|327.64|0.05|I|2.3|0.1|2021-07-11|2021-08-04 18:45:12|safonov|tfopwg|98677|
14098624||0.483|0.005|318.99|0.06|I|2.8|0.1|2021-07-11|2021-08-04 18:45:12|safonov|tfopwg|98684|
14130764||0.125||89.8||832: 832 (40) nm|0.39||2019-05-21|2021-11-10 14:57:35|furlan|tfopwg|17356|180 degree ambiguity in PA
14130764||0.123||87.8||562: 562 (54) nm|0.49||2019-05-21|2021-11-10 14:57:21|furlan|tfopwg|17356|180 degree ambiguity in PA
14394661||1.369||354.595||832: 832 (40) nm|3.44||2019-11-09|2022-07-19 12:59:13|everett||417408|NESSI@WIYN
14570132|TOI 5137|0.256||35.4||832: 832 (40) nm|1.73||2020-12-03|2022-09-15 17:10:23|furlan|tfopwg|93579|
14570132|TOI 5137|0.254||35.2||562: 562 (54) nm|2.69||2020-12-03|2022-09-15 17:10:23|furlan|tfopwg|93579|
14570132|TOI 5137|0.251|0.002|38.93|0.81|Brgamma|0.721|0.011|2022-03-19|2022-03-19 21:05:33|ciardi|tfopwg|109297|Palomar AO (PI: ciardi):
14709225|TOI 2870|0.8489||346.1||I: 879 (289) nm|1.6||2023-01-03|2023-01-10 07:11:44|ziegler|tfopwg|424023|
14899687||0.079||265||832: 832 (40) nm|1.98||2022-05-11|2022-10-18 13:55:32|fajardo|tfopwg|419216|180 degree ambiguity in PA, uncertain fit
15460993|TOI 3544|1.698|0.001|163.1|1|K|3.211|0.018|2021-08-28|2021-10-09 17:18:24|ciardi|tfopwg|100762|Keck AO (PI: Gonzales)
15460993|TOI 3544|0.178|0.001|38.7|1|K|1.293|0.01|2021-08-28|2021-10-09 17:18:24|ciardi|tfopwg|100762|Keck AO (PI: Gonzales)
15460993|TOI 3544|0.1874||321||I: 879 (289) nm|1.6||2021-10-02|2021-10-06 10:14:22|ziegler|tfopwg|100660|
15460993|TOI 3544|1.703||197.1||I: 879 (289) nm|3.7||2021-10-02|2021-10-06 10:14:22|ziegler|tfopwg|100659|
15845781||1.163||152.2||716: 716 (52) nm|8||2020-06-11|2021-11-01 16:02:46|furlan|tfopwg|101313|uncertain fit
15863518|TOI 1713|0.587|0.004|308.77|0.34|Hcont|1.852|0.008|2022-03-19|2022-03-19 21:05:33|ciardi|tfopwg|109281|Palomar AO (PI: ciardi):
15863518|TOI 1713|0.589|0.004|308.62|0.34|Brgamma|1.699|0.005|2022-03-19|2022-03-19 21:05:33|ciardi|tfopwg|109281|Palomar AO (PI: ciardi):
15863518|TOI 1713|0.586||303||562: 562 (54) nm|5.81||2021-02-07|2021-11-08 13:00:11|furlan|tfopwg|94651|uncertain fit
15863518|TOI 1713|0.595||305.9||832: 832 (40) nm|3.06||2021-02-07|2021-11-08 13:00:11|furlan|tfopwg|94651|
15863518|TOI 1713|0.593|0.006|307.29|0.13|I|3.5|0.9|2020-10-22|2020-11-16 13:06:24|safonov|tfopwg|51831|
16034014||1.532||189.714||832: 832 (40) nm|2.6||2019-01-25|2022-07-19 13:00:13|everett||417609|NESSI@WIYN
16034014||1.525||190.58||562: 562 (44) nm|3.56||2019-01-25|2022-07-19 13:00:13|everett||417609|NESSI@WIYN
16288184|TOI 1049|1.2782||154.2||I: 879 (289) nm|5.6||2019-08-12|2020-01-24 12:19:58|ziegler|tfopwg|16127|
16486662||0.228||117.4||832: 832 (40) nm|6.83||2022-02-10|2023-06-30 15:59:48|fajardo|tfopwg|415959|uncertain fit
16486662||0.191||115.9||562: 562 (54) nm|3.74||2022-02-10|2023-06-30 15:59:48|fajardo|tfopwg|415959|uncertain fit
16997732||0.181||226||562: 562 (54) nm|0.99||2020-12-06|2022-09-15 17:10:23|furlan|tfopwg|93637|180 degree ambiguity in PA
16997732||0.181||226.4||832: 832 (40) nm|0.48||2020-12-06|2022-09-15 17:10:23|furlan|tfopwg|93637|180 degree ambiguity in PA
17005768|TOI 1460|0.167||176.219||832: 832 (40) nm|0.69||2021-11-23|2022-07-19 12:58:12|everett||417234|NESSI@WIYN; 180 degree ambiguity in PA
17005768|TOI 1460|0.166||176.963||562: 562 (44) nm|0.48||2021-11-23|2022-07-19 12:58:12|everett||417234|NESSI@WIYN; 180 degree ambiguity in PA
17005768|TOI 1460|0.17|0.01|177.4|0.1|Kshort|1.027|0.0052|2021-08-08|2021-09-13 14:27:35|ciardi|tfopwg|99527|Assuming companion is bound and based on delta magnitude, star has estimated spectral type K4V
17005768|TOI 1460|0.17|0.01|177.4|0.1|Hcont|1.044|0.0065|2021-08-08|2021-09-13 14:27:35|ciardi|tfopwg|99527|Assuming companion is bound and based on delta magnitude, star has estimated spectral type K4V
17005768|TOI 1460|0.1663||175.9||I: 879 (289) nm|0.6||2020-12-03|2020-12-09 07:01:48|ziegler|tfopwg|60957|
17293874||0.151||56.305||562: 562 (44) nm|0.78||2018-11-21|2022-07-19 13:00:13|everett||417612|NESSI@WIYN
17293874||0.149||56.522||832: 832 (40) nm|0.75||2018-11-21|2022-07-19 13:00:13|everett||417612|NESSI@WIYN
17540944||0.499||38.9||562: 562 (54) nm|3.46||2021-06-26|2022-09-19 09:58:17|furlan|tfopwg|98763|
17540944||0.502||39.2||832: 832 (40) nm|2.51||2021-06-26|2022-09-19 09:58:17|furlan|tfopwg|98763|
17652022|TOI 5691|0.334|0.002|20.61|0.61|Hcont|0.859|0.009|2023-06-06|2023-11-09 11:55:45|ciardi|tfopwg|429200|Palomar AO (PI: Ciardi with Clark):
17652022|TOI 5691|0.334|0.002|19.65|0.61|Brgamma|0.832|0.011|2023-06-06|2023-11-09 11:55:45|ciardi|tfopwg|429200|Palomar AO (PI: Ciardi with Clark):
17746821|TOI 492|0.665||321.1||832: 832 (40) nm|3.89||2020-12-05|2021-11-08 12:20:40|furlan|tfopwg|93623|uncertain fit
17865622|TOI 3540|0.905||199.6||832: 832 (40) nm|2.26||2022-09-15|2022-12-01 09:22:08|furlan|tfopwg|422609|
17865622|TOI 3540|0.901||199.4||562: 562 (54) nm|3.14||2022-09-15|2022-12-01 09:22:08|furlan|tfopwg|422609|
17865622|TOI 3540|0.9166||199.7||I: 879 (289) nm|1.8||2021-10-02|2021-10-06 10:14:22|ziegler|tfopwg|100664|
17865622|TOI 3540|0.91|0.01|201.1|0.1|Brgamma|1.022|0.0071|2021-08-24|2021-09-13 14:27:35|ciardi|tfopwg|99576|Assuming companion is bound and based on delta magnitude, star has estimated spectral type K6V
17865622|TOI 3540|0.91|0.01|200.9|0.1|Hcont|1.144|0.0062|2021-08-24|2021-09-13 14:27:35|ciardi|tfopwg|99576|Assuming companion is bound and based on delta magnitude, star has estimated spectral type K6V
18373995|TOI 4617|0.788|0.006|342.49|0.32|I|4.4|0.1|2022-12-24|2023-02-27 04:01:32|safonov|tfopwg|426832|
18645491||0.177||282.607||562: 562 (44) nm|2.16||2019-01-20|2022-07-19 13:00:13|everett||417619|NESSI@WIYN
18645491||0.177||282.207||832: 832 (40) nm|1.78||2019-01-20|2022-07-19 13:00:13|everett||417619|NESSI@WIYN
18795429|TOI 3404|6.3913||190.6||I: 879 (289) nm|0.3||2022-04-16|2022-04-19 10:36:50|ziegler|tfopwg|414878|
19025965|TOI 493|16.8|0.00354|26||Brgamma|6.6825|0.07145|2019-04-18|2020-01-24 10:03:36|ciardi||3213|
19451711|TOI 522|0.753||241.1||I: 879 (289) nm|4.9||2019-05-19|2020-01-24 12:19:58|ziegler|tfopwg|16034|Ziegler et al. (2020)
19451711|TOI 522|0.75|0.00141|241||Brgamma|3.214|0.00745|2019-03-25|2020-01-24 10:03:36|ciardi||3245|
19519368|TOI 494|2.2257||153.7||I: 879 (289) nm|5.7||2019-05-19|2020-01-24 12:19:58|ziegler|tfopwg|16035|Ziegler et al. (2020)
19519368|TOI 494|2.2|0.00141|154||Brgamma|4.7657|0.03972|2019-03-25|2020-01-24 10:03:36|ciardi||3240|
19612445|TOI 4837|0.605||250.7||I: 879 (289) nm|1.9||2022-03-20|2022-03-22 13:12:20|ziegler|tfopwg|102499|
20299658|TOI 2536|0.2907||320.2||I: 879 (289) nm|1.8||2021-10-03|2021-10-06 10:14:22|ziegler|tfopwg|100618|
20495472||0.031||22.2||562: 562 (54) nm|2.2||2020-12-06|2022-09-15 17:10:23|furlan|tfopwg|93660|180 degree ambiguity in PA, uncertain fit
20495472||0.037||17.1||832: 832 (40) nm|2.35||2020-12-06|2022-09-15 17:10:23|furlan|tfopwg|93660|180 degree ambiguity in PA, uncertain fit
20892672|TOI 378|0.187||335.8||562: 562 (54) nm|2.59||2019-09-13|2021-11-19 11:17:07|furlan|tfopwg|17766|180 degree ambiguity in PA
20892672|TOI 378|0.194||337.8||832: 832 (40) nm|2.35||2019-09-13|2021-11-19 11:17:07|furlan|tfopwg|17766|180 degree ambiguity in PA
20892672|TOI 378|0.059||26.2||832: 832 (40) nm|0.62||2019-10-09|2021-10-29 16:06:32|furlan|tfopwg|17116|180 degree ambiguity in PA
