TIC,Source,RandomI,"epsi",sepsi,IPDfmp,RUWE,"Gmag","RV","e_RV",NSS,"RAJ2000","DEJ2000"
89617284,5316369003565596672,320758796,6.916,4.39E+04,38,54.159,13.178238,-43.99,2.71,0,127.414147,-55.56072897
90448944,5321241283189288704,1619635403,0.11,1.41E+01,11,1.039,9.922306,19.6,0.47,0,128.302385,-52.71426597
74197917,5327602920024939264,1299038216,0.744,1.67E+02,0,3.82,14.808147,26.02,4.71,0,137.2850537,-46.18466546
30828562,5332029175877608576,465011665,0.123,1.29E+01,0,0.839,8.262252,21.96,0.48,0,134.7185153,-43.45288283
80778619,5362217916891917696,1054912670,0.57,4.11E+02,66,4.111,12.861012,51.33,7.62,0,165.951414,-48.52631945
36452991,5407977460540294784,445727390,0.026,9.15E-01,0,0.936,12.607454,51.23,1.12,0,150.0625482,-47.44524116
36381058,5417894093343781376,45551058,0,1.86E-15,0,0.956,13.171013,10.58,2.13,0,150.0615145,-44.01635589
45996325,5421283475373400576,1196110586,2.001,7.42E+03,0,13.547,12.05396,27.62,4.31,0,150.0806204,-39.65958463
75208638,5423774689545278592,149966678,0.061,5.13E+00,1,0.869,12.047167,-3.1,0.89,0,138.74116,-45.12300033
74967390,5427101506793792640,366997505,1.25,1.95E+03,0,9.57,12.548471,20.06,1.57,0,138.4205036,-43.18054405
74484423,5427175792551633792,1092763359,0,0.00E+00,0,1.008,13.450337,63.75,2.38,0,137.4757468,-43.36690182
48476907,5434682330226436480,1348933755,1.145,2.16E+03,0,8.151,9.895103,-1.96,0.42,0,150.1529188,-34.681979
48476908,5434682330226436736,1462183489,0.116,1.99E+01,0,1.175,10.63798,,,0,150.1541342,-34.68155537
48210046,5435211057880586624,1622493305,0.274,9.49E+01,75,3.045,13.288536,5.96,4.91,0,148.0436279,-34.63777111
71221700,5461940288629178368,832668373,1.276,1.35E+03,95,7.996,13.203494,35.13,6.63,0,154.0487114,-29.97637139
52928939,5516850925816335744,706240392,0.106,1.61E+01,31,1.372,12.296252,27.5,3.94,2,125.8063435,-45.79257943
82128636,5519728867449179264,1714777674,1.381,1.98E+03,24,8.455,9.164064,12.24,6.35,0,124.1104366,-46.42988972
81429971,5521343392888866048,1254312123,0.132,2.25E+01,0,0.939,10.228319,9.21,6.59,0,123.1782081,-42.93500664
18795429,5624924745508375808,1227230803,0.023,6.93E-01,0,1.083,13.168018,-0.86,1.46,0,138.0983381,-33.25679323
19612445,5630903060807248256,151539843,0.716,1.13E+03,68,5.332,10.946959,6.97,1.58,0,139.8702258,-32.29752951
38118291,5635995311471994880,508000261,3.207,1.46E+04,73,26.426,13.373735,80.26,3.05,0,137.0190106,-28.91604628
1018843,5646258122946138496,726408730,0.122,2.63E+01,18,1.335,9.324789,,,0,130.9324503,-26.98078164
37575651,5647759987108393984,1155387179,8.323,4.43E+04,66,,8.575413,,,0,135.3404893,-28.32457495
1260235,5652303444032814336,679198258,0.397,1.86E+02,42,3.316,12.893068,28.27,1,0,131.4075871,-26.50303607
22221375,5660492297395345408,3346415,0.123,7.50E+00,0,0.99,7.78381,19.62,0.15,0,149.1243508,-24.0993887
1003831,5710154317045164416,1695836866,0.149,4.62E+01,7,1.13,11.148268,7.51,0.21,0,130.2951654,-16.03628039
68523365,5870299044703697024,1086828866,0.38,1.56E+02,18,3.096,13.444524,-17.11,1.66,0,202.7929776,-58.28906492
46807139,5876842238373371136,222566642,0.3,4.26E+01,54,1.517,14.41928,,,0,230.7896513,-58.7267728
35106764,5881261381748019328,1083400933,2.461,5.07E+03,0,19.394,13.179798,,,0,224.7315674,-56.41523558
33350443,5948834716357518336,890957962,0.095,1.21E+01,0,0.792,11.128385,-19.49,5.22,0,266.7466393,-47.20833019
21997420,5954632686013959680,242790853,0,0.00E+00,0,1.002,13.534131,-11.61,4.96,0,268.0523277,-45.17828115
39858507,6028524643472937472,1555421759,0.055,3.11E+00,0,0.815,9.209268,,,0,255.9209177,-30.77005108
41387532,6028534676521195392,995202088,14.533,1.56E+05,30,,9.985062,,,0,256.4401709,-30.81670945
16288184,6032746832450438400,1631263930,0.154,2.41E+01,2,0.981,11.466937,-21.54,1.11,0,253.76889,-28.71055941
48661942,6213120722851878784,1645712522,2.329,5.76E+03,45,29.864,12.480743,26.23,1.23,0,229.7407474,-28.41048397
47617038,6215177836089586944,130160620,0.089,7.56E+00,0,0.935,8.28981,-14.72,0.16,0,220.350371,-33.95038617
47425697,6623268178103436672,604192642,54.174,2.73E+06,83,,11.469514,,,0,342.2561844,-24.95929384
76761591,6652182688220446336,157317251,22.459,4.02E+05,62,,11.476753,,,0,270.7266798,-55.84180815
90919952,6709589289823952256,954176531,1.455,2.97E+03,4,9.151,11.140928,-22.74,0.27,0,277.4329306,-44.62547908
86021841,6724015672669963136,1304369516,26.525,5.44E+05,46,,12.804703,,,0,271.6111459,-44.11721765
29857954,6801474136516893184,691760620,0.112,1.59E+01,23,0.857,11.192582,-7.66,0.87,0,316.6319004,-26.69263235
25375553,6813902839862151936,864987252,0.056,3.03E+00,0,0.764,10.110225,-18.49,0.27,0,328.7676784,-22.61257974
25139786,6818415476100569088,1548082254,0.536,3.53E+02,4,4.604,12.612276,-9.7,1.33,0,326.2726852,-20.03251881
